user_id,user_url,item_id,helpful,recommend,sentiment_analysis
76561198079601835,http://steamcommunity.com/profiles/76561198079601835,730,0 of 1 people (0%) found this review helpful,True,1
MeaTCompany,http://steamcommunity.com/id/MeaTCompany,730,No ratings yet,True,2
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,72850,3 of 3 people (100%) found this review helpful,True,0
76561198089393905,http://steamcommunity.com/profiles/76561198089393905,440,3 of 3 people (100%) found this review helpful,True,1
76561198156664158,http://steamcommunity.com/profiles/76561198156664158,252950,0 of 1 people (0%) found this review helpful,True,2
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,440,No ratings yet,True,1
76561198077246154,http://steamcommunity.com/profiles/76561198077246154,304930,No ratings yet,True,1
WeiEDKrSat,http://steamcommunity.com/id/WeiEDKrSat,4000,0 of 1 people (0%) found this review helpful,True,1
thequeenpanda,http://steamcommunity.com/id/thequeenpanda,42910,0 of 2 people (0%) found this review helpful,True,1
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,730,1 of 3 people (33%) found this review helpful,True,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,440,0 of 2 people (0%) found this review helpful,True,2
Rainbow-Dashie,http://steamcommunity.com/id/Rainbow-Dashie,49520,0 of 2 people (0%) found this review helpful,True,1
devvonst,http://steamcommunity.com/id/devvonst,440,6 of 9 people (67%) found this review helpful,True,2
devvonst,http://steamcommunity.com/id/devvonst,218740,0 of 1 people (0%) found this review helpful,True,2
devvonst,http://steamcommunity.com/id/devvonst,550,No ratings yet,True,2
Fr0stedLine,http://steamcommunity.com/id/Fr0stedLine,220,No ratings yet,True,2
76561198058373434,http://steamcommunity.com/profiles/76561198058373434,8870,2 of 2 people (100%) found this review helpful,True,2
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,368230,3 of 5 people (60%) found this review helpful,True,0
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,4000,0 of 1 people (0%) found this review helpful,True,2
76561198048353577,http://steamcommunity.com/profiles/76561198048353577,33930,No ratings yet,True,2
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,359320,4 of 5 people (80%) found this review helpful,False,0
76561198066046412,http://steamcommunity.com/profiles/76561198066046412,219640,1 of 5 people (20%) found this review helpful,True,2
tru_mu_,http://steamcommunity.com/id/tru_mu_,287980,No ratings yet,True,2
