Desarrollador,Año,recommend,sentiment_analysis
Valve,1998,True,0
Valve,1998,True,2
Valve,1998,True,1
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,0
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,1
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,1
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,1
Valve,1998,True,1
Valve,1998,True,2
Valve,1998,True,2
Valve,1998,True,2
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,1
Outerlight Ltd.,2006,True,1
Outerlight Ltd.,2006,False,0
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,1
Outerlight Ltd.,2006,True,1
Outerlight Ltd.,2006,False,0
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,0
Outerlight Ltd.,2006,True,1
Outerlight Ltd.,2006,True,1
Outerlight Ltd.,2006,False,0
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,0
Introversion Software,2006,True,2
Introversion Software,2006,True,2
Introversion Software,2006,True,2
Introversion Software,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Outerlight Ltd.,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,0
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,1
Facepunch Studios,2006,False,1
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,0
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,0
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,1
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
Facepunch Studios,2006,True,2
